day,Overall_Calories,Overall_Proteins,Overall_Carbs,Overall_Fats,Overall_Fibres,Breakfast_Items,Lunch_Items,Dinner_Items,Pre_workout_snack_Items,Post_workout_snack_Items,Mor_snac_Items,Eve_snack_Items,Breakfast_Serving,Lunch_Serving,Dinner_Serving,Pre_workout_snack_Serving,Post_workout_snack_Serving,Mor_snac_Serving,Eve_snack_Serving,Breakfast_Calories,Lunch_Calories,Dinner_Calories,Pre_workout_snack_Calories,Post_workout_snack_Calories,Mor_snac_Calories,Eve_snack_Calories,Breakfast_Carbs,Lunch_Carbs,Dinner_Carbs,Pre_workout_snack_Carbs,Post_workout_snack_Carbs,Mor_snac_Carbs,Eve_snack_Carbs,Breakfast_Proteins,Lunch_Proteins,Dinner_Proteins,Pre_workout_snack_Proteins,Post_workout_snack_Proteins,Mor_snac_Proteins,Eve_snack_Proteins,Breakfast_Fats,Lunch_Fats,Dinner_Fats,Pre_workout_snack_Fats,Post_workout_snack_Fats,Mor_snac_Fats,Eve_snack_Fats,Breakfast_Fibre,Lunch_Fibre,Dinner_Fibre,Pre_workout_snack_Fibre,Post_workout_snack_Fibre,Mor_snac_Fibre,Eve_snack_Fibre,Type,Region,Condition,Diet,Value
Day 1,1591.5 kcal,66.15 g,251.05 g,38.4 g,48.8 g,Upma,Carrot cucumber salad | Daal | Tofu | Brown rice,Wheat Roti | Gobi matar sabzi | Daal,Papaya | Chia seeds,Moong beans boiled,Apple | Cashew Nuts | Almonds,Roasted chana,1.5 katori,1 katori | 1 bowl | 0.5 serving | 1 katori,2 roti | 1 katori | 1 bowl,1 cup | 1 tbsp,1 katori,1 piece | 4 Piece | 4 almond,1 katori,256.5,21 | 116 | 72 | 109,170 | 82 | 116,47,138,32 | 28,270,36.45,4.9 | 18.7 | 1.4 | 22.8,34.8 | 7 | 18.7,46 | 4.1,23.4,88 | 1.2 | 1.2,46,6.6,0.7 | 7.2 | 8.65 | 2.4,6 | 2.7 | 7.2,10.4 | 1.6,9.9,20 | 1.2 | 1.2,9.6,9.45,0.1 | 1.4 | 4.35 | 0.9,0.8 | 5 | 1.4,0.9 | 3,0.5,0.3 | 2.8 | 2.4,5.3,3.75,1.1 | 3.1 | 1.15 | 1,5.4 | 3.4 | 3.1,0.2 | 3.3,6.9,0.8 | 0 | 0.8,7.2,Weight Gain,South Indian,Diabetes,Veg,1600
Day 2,1567 kcal,65.6 g,210.65 g,54.15 g,50.35 g,Tomato peanut chutney | Green Gram Idli,Ragi/nachni roti | Green salad | Coconut chickpea curry | Methi Bhaji,Brinjal sambhar | Bean salad | Brown rice,Mosambi,Epigamia plain yoghurt,Coconut water | Almonds | Cashew Nuts,Roasted peanuts | Orange,2 tbsp | 4 Piece,2 roti | 1 katori | 1 katori | 1 Katori,1.5 katori | 1 katori | 1 katori,1 piece,1 pack,1 piece | 6 almond | 6 Piece,0.5 serving | 1 piece,30 | 312,174 | 60 | 169 | 114,175.5 | 55 | 109,29,69,49 | 42 | 48,85.5 | ,1.8 | 44.4,38.4 | 2.8 | 18.1 | 12.1,23.85 | 7.4 | 22.8,6.2,5.6,9.1 | 1.8 | 1.8,4 | 46,1 | 18.8,4 | 1.4 | 5.2 | 3.8,8.25 | 1.9 | 2.4,0.5,7.2,2.9 | 1.8 | 1.8,3.95 | 10.5,2.4 | 7.2,0.8 | 4.8 | 8.7 | 5.7,5.25 | 2 | 0.9,0.2,2,0.2 | 3.6 | 4.2,6 | 0.7,0.8 | 13.2,6.2 | 1.7 | 8.3 | 4.2,4.8 | 2.1 | 1,1.8,0,2.3 | 1.2 | 0,1.65 | 0.2,Weight Gain,South Indian,Diabetes,Veg,1600
Day 3,1613 kcal,62.8 g,261.9 g,37.4 g,50.8 g,Paneer bhurji dosa | Drumstick sambhar,Tomato cucumber raita | Soya chunk pulao,Wheat Roti | Daal | Mix Veg Bhaji,Pear,Moong beans boiled,Pomegranate | Almonds,Makhana,1 dosa | 1 katori,1 katori | 1.5 katori,2 roti | 1 bowl | 1 Small,1 piece,1 katori,1 cup | 4 almond,1 katori,369 | 93,51 | 222,170 | 116 | 94,,138,144 | 28,111,43 | 11,5.5 | 35.4,34.8 | 18.7 | 14.2,77,23.4,32.5 | 1.2,24.6,13.3 | 4.2,2.5 | 9.3,6 | 7.2 | 2.3,17.6,9.9,2.9 | 1.2,3.1,16.2 | 3.6,2.4 | 4.5,0.8 | 1.4 | 3.3,0.9,0.5,2 | 2.4,0,5.6 | 2.3,1.1 | 3.6,5.4 | 3.1 | 4,0.3,6.9,7 | 0.8,4.6,Weight Gain,South Indian,Diabetes,Veg,1600
Day 4,1589 kcal,57.9 g,224.1 g,53.1 g,47.2 g,Buttermilk | Vermicelli upma,Grilled paneer | Carrot cucumber salad | Peas Bhaji | Brown rice,Chapati | Bhindi Sabzi | Daal | Carrot tomato salad,Apple | Almonds | walnuts,Boiled moong and chana,Chickpea vegetable salad,Murmura chana peanuts bhel,1 glass | 1.5 katori,0.5 serving | 1 katori | 1 Katori | 1 katori,2 Piece | 1 Katori | 1 bowl | 1 katori,1 piece | 4 almond | 4 piece,1 katori,1.5 katori,1 katori,45 | 151.5,143.5 | 21 | 88 | 109,170 | 68 | 116 | 27,28 | 56,132,123,223,2.3 | 25.05,0.9 | 4.9 | 8 | 22.8,34.8 | 7.1 | 18.7 | 5.4,88 | 1.2 | 0.8,22.4,18.75,31,2.3 | 3.45,8.45 | 0.7 | 2.7 | 2.4,6 | 1.8 | 7.2 | 0.9,20 | 1.2 | 1.2,7.6,4.5,7.2,3 | 4.2,11.85 | 0.1 | 5.1 | 0.9,0.8 | 3.7 | 1.4 | 0.2,0.3 | 2.4 | 5.6,1.4,3.75,7.9,0 | 1.95,0.25 | 1.1 | 4.3 | 1,5.4 | 3.1 | 3.1 | 2.5,0.8 | 0.8 | 0.8,9,6.9,2.2,Weight Gain,South Indian,Diabetes,Veg,1600
Day 1,1505 kcal,64.1 g,204.7 g,49.25 g,42.25 g,Paneer Burji | Wheat Roti,Gobi matar sabzi | Daal | Wheat Roti | Carrot cucumber salad,Wheat Roti | Kheera tamatar salad | Paneer capsicum sabzi,Granola bar,Moong beans boiled,Almonds | Mosambi,Makhana,1 Small | 1 roti,1 katori | 1 bowl | 2 roti | 1 katori,2 roti | 1 katori | 1.5 katori,1 bar,1 katori,6 almond | 1 piece,1 katori,209 | 85,82 | 116 | 170 | 21,170 | 15 | 198,119,138,42 | 29,111,3.2 | 17.4,7 | 18.7 | 34.8 | 4.9,34.8 | 3.2 | 7.8,16.9,23.4,1.8 | 6.2,24.6,11.7 | 3,2.7 | 7.2 | 6 | 0.7,6 | 0.6 | 9,1.9,9.9,1.8 | 0.5,3.1,16.6 | 0.4,5 | 1.4 | 0.8 | 0.1,0.8 | 0.1 | 14.85,4.9,0.5,3.6 | 0.2,0,0.7 | 2.7,3.4 | 3.1 | 5.4 | 1.1,5.4 | 0.9 | 2.85,2.2,6.9,1.2 | 1.8,4.6,Weight Gain,Maharashtrian,None,Veg,1500
Day 2,1501.5 kcal,67.95 g,163.8 g,65.6 g,30.15 g,Dahi | Besan chilla,Wheat Roti | Soyabean Curry | Carrot cucumber salad,Wheat Roti | Carrot cucumber salad | Paneer Burji,Almonds | Cashew Nuts | Dates,Epigamia plain yoghurt,Almonds | Orange,Puffed Rice Chivda,1 katori | 2 chilla,2 roti | 1 Katori | 1 katori,2 roti | 1 katori | 1.5 Small,4 almond | 4 Piece | 1 piece,1 pack,6 almond | 1 piece,1 Katori,90 | 216,170 | 120 | 21,170 | 21 | 313.5,28 | 32 | 25,69,42 | ,138,4.5 | 21.6,34.8 | 7.3 | 4.9,34.8 | 4.9 | 4.8,1.2 | 1.2 | 6.1,5.6,1.8 | 46,19.8,4.7 | 8,6 | 8.8 | 0.7,6 | 0.7 | 17.55,1.2 | 1.2 | 0.2,7.2,1.8 | 10.5,3.2,6 | 10.6,0.8 | 6.2 | 0.1,0.8 | 0.1 | 24.9,2.4 | 2.8 | 0,2,3.6 | 0.7,5.1,0 | 4.6,5.4 | 5.3 | 1.1,5.4 | 1.1 | 1.05,0.8 | 0 | 0.7,0,1.2 | 0.2,2.4,Weight Gain,Maharashtrian,None,Veg,1500
Day 3,1501 kcal,60.2 g,224.5 g,42 g,40.7 g,Peas poha,Soya chunk pulao | Lauki raita | Carrot tomato salad,Wheat Roti | Chana lobia curry | Buttermilk,Peanut butter with whole wheat bread,Boiled sprouted chana,Chiku | Almonds,Cheese Toast Sandwich,1 katori,2 katori | 1 katori | 1 katori,2 roti | 1 katori | 1 glass,1 slice,1 katori,1 piece | 6 almond,1 Piece,140,296 | 68 | 27,170 | 171 | 45,117,161,59 | 42,205,27.9,47.2 | 4.4 | 5.4,34.8 | 24.3 | 2.3,13,27,12.8 | 1.8,23.6,3,12.4 | 3.4 | 0.9,6 | 9 | 2.3,5.4,8.7,0.4 | 1.8,6.9,2,6 | 4.2 | 0.2,0.8 | 4.3 | 3,5.2,2.6,0.7 | 3.6,9.4,1.1,4.8 | 0.9 | 2.5,5.4 | 4.3 | 0,2.5,7.5,6.5 | 1.2,4,Weight Gain,Maharashtrian,None,Veg,1500
Day 4,1496 kcal,60.2 g,214.3 g,46 g,37.8 g,Upma,Palak Bhaji / Sabji | Daal | Jowar roti | Dahi,Ragi/nachni roti | Gavar sabzi | Boiled soya chunks,Muskmelon | walnuts,Banana oatmeal smoothie,Coconut water | Soaked and peeled almonds,Moong beans boiled,1 katori,1 Katori | 1 bowl | 2 piece | 1 katori,2 roti | 1 katori | 1 katori,1 cup | 6 piece,1 glass,1 piece | 6 almond,1 katori,171,93 | 116 | 166 | 90,174 | 65 | 47,84,228,49 | 48,138,24.3,7.4 | 18.7 | 35.6 | 4.5,38.4 | 4.7 | 4.5,27 | 1.2,36.3,9.1 | 0.6,23.4,4.4,2 | 7.2 | 3.6 | 4.7,4 | 2.6 | 7.1,5.6 | 1.8,7.7,2.9 | 1.8,9.9,6.3,6.4 | 1.4 | 1.6 | 6,0.8 | 3.8 | 0.1,0.5 | 8.4,6,0.2 | 4.2,0.5,2.5,2.3 | 3.1 | 3 | 0,6.2 | 3.6 | 1.8,0.3 | 1.2,2.4,2.3 | 1.2,6.9,Weight Gain,Maharashtrian,None,Veg,1500
Day 1,2094 kcal,85.8 g,319.35 g,55.45 g,56.95 g,Egg Omelette | Wheat Roti,Daal | Carrot cucumber salad | Wheat Roti | Bhindi Sabzi,Plain Rice | Daal | Cabbage sabzi | Wheat Roti,Almonds | Pineapple | Cashew Nuts,Egg white,Apple | walnuts,Roasted chana | Dates,2 Piece | 2 roti,1 bowl | 1 katori | 3 roti | 1.5 Katori,1 Katori | 1 bowl | 1 katori | 2 roti,6 almond | 4 thin | 6 Piece,boiled,1 piece | 6 piece,1 katori | 2 piece,208 | 170,116 | 21 | 255 | 102,120 | 116 | 62 | 170,42 | 104 | 48,4 piece,84,270 | 50,5 | 34.8,18.7 | 4.9 | 52.2 | 10.65,26.7 | 18.7 | 4.7 | 34.8,1.8 | 24.4 | 1.8,68,88 | 1.2,46 | 12.2,12 | 6,7.2 | 0.7 | 9 | 2.7,2.6 | 7.2 | 1.5 | 6,1.8 | 0.8 | 1.8,0.8,20 | 1.8,9.6 | 0.4,16.2 | 0.8,1.4 | 0.1 | 1.2 | 5.55,0.3 | 1.4 | 4.2 | 0.8,3.6 | 0.4 | 4.2,14.4,0.3 | 8.4,5.3 | 0,0.8 | 5.4,3.1 | 1.1 | 8.1 | 4.65,0.5 | 3.1 | 2.6 | 5.4,1.2 | 6.4 | 0,0.8,0.8 | 1.2,7.2 | 1.4,Weight Loss,North Indian,None,Non Veg,2100
Day 2,2108.5 kcal,92.55 g,285.7 g,69.2 g,57.35 g,Paneer Paratha | Dahi,Plain Rice | Daal | Gobi matar sabzi | Wheat Roti,Chicken curry | Carrot tomato salad | Wheat Roti,Apple | Almonds,Moong beans boiled,Pear | Pumpkin seeds | walnuts,Roasted peanuts | Ragi with buttermilk,2 Piece | 1 katori,1 Katori | 1 bowl | 1 katori | 2 roti,1 katori | 1 katori | 3 roti,1 piece | 6 almond,1 katori,1 piece | 1 tbsp | 6 piece,0.5 serving | 1 glass,448 | 90,120 | 116 | 82 | 170,163 | 27 | 255,42,138,52 | 84,85.5 | 71,48.2 | 4.5,26.7 | 18.7 | 7 | 34.8,4.6 | 5.4 | 52.2,88 | 1.8,23.4,77 | 1.3 | 1.2,4 | 14.3,18.4 | 4.7,2.6 | 7.2 | 2.7 | 6,17.9 | 0.9 | 9,20 | 1.8,9.9,17.6 | 2.7 | 1.8,3.95 | 1.8,21.8 | 6,0.3 | 1.4 | 5 | 0.8,7.7 | 0.2 | 1.2,0.3 | 3.6,0.5,0.9 | 4.4 | 8.4,6 | 0.8,7.6 | 0,0.5 | 3.1 | 3.4 | 5.4,1.7 | 2.5 | 8.1,0.8 | 1.2,6.9,0.3 | 0.6 | 1.2,1.65 | 2.3,Weight Loss,North Indian,None,Non Veg,2100
